'Name': 'Inception', 'Actress': 'Elliot_Page', 'Actor': 'Leonardo_DiCaprio', 'Year_of_Release': '2010', 'Director': 'Christopher_Nolan', 'Language': 'English', 'Movie_Categories': 'Sci-Fi', 'Rating': '8.8'
'Name': 'Oppenheimer', 'Actress': 'Emily_Blunt', 'Actor': 'Cillian_Murphy', 'Year_of_Release': '2023', 'Director': 'Christopher_Nolan', 'Language': 'English', 'Movie_Categories': 'Biography', 'Rating': '8.4'
'Name': '96', 'Actress': 'Trisha', 'Actor': 'Vijay_Sethupathi', 'Year_of_Release': '2018', 'Director': 'C.Prem_Kumar', 'Language': 'Tamil', 'Movie_Categories': 'Romance', 'Rating': '8.5'
'Name': 'Kaithi', 'Actress': 'Karthika_Nair', 'Actor': 'Karthi', 'Year_of_Release': '2019', 'Director': 'Lokesh_Kanagaraj', 'Language': 'Tamil', 'Movie_Categories': 'Action', 'Rating': '8.5'
'Name': 'Thani_Oruvan', 'Actress': 'Nayanthara', 'Actor': 'Jayam_Ravi', 'Year_of_Release': '2015', 'Director': 'Mohan_Raja', 'Language': 'Tamil', 'Movie_Categories': 'Thriller', 'Rating': '8.4'
'Name': 'Uyare', 'Actress': 'Parvathy_Thiruvothu', 'Actor': 'Asif_Ali', 'Year_of_Release': '2019', 'Director': 'Manu_Ashokan', 'Language': 'Malayalam', 'Movie_Categories': 'Drama', 'Rating': '8.1'
'Name': 'Take_Off', 'Actress': 'Parvathy_Thiruvothu', 'Actor': 'Kunchacko_Boban', 'Year_of_Release': '2017', 'Director': 'Mahesh_Narayanan', 'Language': 'Malayalam', 'Movie_Categories': 'Thriller', 'Rating': '8.2'
'Name': 'Arjun_Reddy', 'Actress': 'Shalini_Pandey', 'Actor': 'Vijay_Deverakonda', 'Year_of_Release': '2017', 'Director': 'Sandeep_Reddy_Vanga', 'Language': 'Telugu', 'Movie_Categories': 'Romance', 'Rating': '8.1'
'Name': 'Sita_Ramam', 'Actress': 'Mrunal_Thakur', 'Actor': 'Dulquer_Salmaan', 'Year_of_Release': '2022', 'Director': 'Hanu_Raghavapudi', 'Language': 'Telugu', 'Movie_Categories': 'Romance', 'Rating': '8.6'
'Name': 'The_Lion_King', 'Actress': 'Nala(voice)', 'Actor': 'Matthew_Broderick', 'Year_of_Release': '1994', 'Director': 'Roger_Allers', 'Language': 'English', 'Movie_Categories': 'Animation', 'Rating': '8.5'
'Name': 'Avengers:_Endgame', 'Actress': 'Scarlett_Johansson', 'Actor': 'Robert_Downey_Jr.', 'Year_of_Release': '2019', 'Director': 'Anthony_Russo', 'Language': 'English', 'Movie_Categories': 'Superhero', 'Rating': '8.4'
